raw_reward_magnitude,stim_reward,stepwise_reward_magnitude,paired_with_stopping,stim_location,response,reaction_time,block,which_phase,stop_signal_trial_type,left_SSD,right_SSD,accuracy,chosen_bidding_amount,chosen_bidding_level,possible_bid_1,possible_bid_2,possible_bid_3,possible_bid_4,possible_bid_5,possible_bid_6,color_text,shape_text
70.0,5.0,1.0,0,3.0,3.0,350.842952728,3.0,phase_1,,,,,,,,,,,,,gray,triangle
216.0,3.0,3.0,1,3.0,3.0,384.178876877,3.0,phase_1,,,,,,,,,,,,,orange,cross
0.0,7.0,0.0,0,4.0,4.0,367.628097534,3.0,phase_1,,,,,,,,,,,,,yellow,circle
67.0,1.0,1.0,1,2.0,2.0,334.082841873,3.0,phase_1,,,,,,,,,,,,,blue,line
397.0,8.0,4.0,1,2.0,2.0,400.625944138,3.0,phase_1,,,,,,,,,,,,,green,diamond
75.0,5.0,1.0,0,4.0,4.0,384.233951569,3.0,phase_1,,,,,,,,,,,,,gray,triangle
401.0,4.0,4.0,0,4.0,4.0,367.630958557,3.0,phase_1,,,,,,,,,,,,,magenta,flipped triangle
73.0,5.0,1.0,0,3.0,3.0,333.940982819,3.0,phase_1,,,,,,,,,,,,,gray,triangle
0.0,3.0,0.0,1,3.0,3.0,317.885875702,3.0,phase_1,,,,,,,,,,,,,orange,cross
193.0,3.0,3.0,1,1.0,1.0,384.150981903,3.0,phase_1,,,,,,,,,,,,,orange,cross
0.0,4.0,0.0,0,4.0,4.0,350.697994232,3.0,phase_1,,,,,,,,,,,,,magenta,flipped triangle
383.0,8.0,4.0,1,2.0,2.0,317.54899025,3.0,phase_1,,,,,,,,,,,,,green,diamond
