stepwise_reward_magnitude,paired_with_stopping,quadrant,response,reaction_time,block,which_part,stop_signal_trial_type,left_SSD,right_SSD,accuracy,chosen_bidding_amount,chosen_bidding_level,possible_bid_1,possible_bid_2,possible_bid_3,possible_bid_4,possible_bid_5,possible_bid_6,color_text,shape_text
4.0,0,6.0,6.0,467.58413314800003,8.0,part_2,go,450.0,250.0,1.0,,,,,,,,,orange,line
2.0,1,6.0,,,8.0,,stop,450.0,200.0,4.0,,,,,,,,,blue,diamond
2.0,0,5.0,5.0,568.055152893,8.0,part_2,go,450.0,200.0,1.0,,,,,,,,,gray,hexagon
0.5,1,5.0,5.0,500.78988075300003,8.0,part_2,stop,400.0,200.0,3.0,,,,,,,,,yellow,circle
0.5,0,6.0,6.0,600.696086884,8.0,part_2,go,400.0,200.0,1.0,,,,,,,,,green,square
0.5,0,5.0,5.0,534.229040146,8.0,part_2,go,400.0,200.0,1.0,,,,,,,,,green,square
4.0,1,6.0,6.0,584.117889404,8.0,part_2,go,400.0,200.0,1.0,,,,,,,,,magenta,triangle
0.5,0,6.0,6.0,534.451961517,8.0,part_2,go,400.0,200.0,1.0,,,,,,,,,green,square
4.0,0,6.0,6.0,717.622995377,8.0,part_2,go,400.0,200.0,1.0,,,,,,,,,orange,line
2.0,0,5.0,5.0,601.475000381,8.0,part_2,go,400.0,200.0,1.0,,,,,,,,,gray,hexagon
4.0,1,6.0,6.0,367.969989777,8.0,part_2,stop,400.0,250.0,3.0,,,,,,,,,magenta,triangle
1.0,1,5.0,5.0,483.886003494,8.0,part_2,go,400.0,250.0,1.0,,,,,,,,,white,cross
0.5,0,5.0,5.0,734.1539859769999,8.0,part_2,go,400.0,250.0,1.0,,,,,,,,,green,square
1.0,1,5.0,,,8.0,,stop,350.0,250.0,4.0,,,,,,,,,white,cross
1.0,1,6.0,,,8.0,,stop,350.0,200.0,4.0,,,,,,,,,white,cross
0.5,0,5.0,5.0,701.1950016019999,8.0,part_2,go,350.0,200.0,1.0,,,,,,,,,green,square
1.0,0,6.0,6.0,368.078231812,8.0,part_2,go,350.0,200.0,1.0,,,,,,,,,cyan,flipped triangle
4.0,0,5.0,5.0,534.841775894,8.0,part_2,go,350.0,200.0,1.0,,,,,,,,,orange,line
4.0,1,6.0,,,8.0,,stop,350.0,250.0,4.0,,,,,,,,,magenta,triangle
4.0,0,5.0,5.0,850.95000267,8.0,part_2,go,350.0,250.0,1.0,,,,,,,,,orange,line
4.0,1,6.0,,,8.0,,stop,350.0,300.0,4.0,,,,,,,,,magenta,triangle
1.0,1,5.0,5.0,433.851957321,8.0,part_2,stop,400.0,300.0,3.0,,,,,,,,,white,cross
0.5,1,5.0,,,8.0,,stop,350.0,300.0,4.0,,,,,,,,,yellow,circle
4.0,0,6.0,6.0,567.775011063,8.0,part_2,go,350.0,300.0,1.0,,,,,,,,,orange,line
1.0,1,5.0,,,8.0,,stop,400.0,300.0,4.0,,,,,,,,,white,cross
2.0,1,5.0,5.0,534.6500873570001,8.0,part_2,stop,450.0,300.0,3.0,,,,,,,,,blue,diamond
4.0,0,5.0,5.0,784.3601703639999,8.0,part_2,go,450.0,300.0,1.0,,,,,,,,,orange,line
0.5,0,6.0,6.0,634.220838547,8.0,part_2,go,450.0,300.0,1.0,,,,,,,,,green,square
4.0,0,6.0,6.0,685.019016266,8.0,part_2,go,450.0,300.0,1.0,,,,,,,,,orange,line
1.0,1,5.0,5.0,500.40316581699994,8.0,part_2,stop,400.0,300.0,3.0,,,,,,,,,white,cross
1.0,0,6.0,6.0,467.37694740300003,8.0,part_2,go,400.0,300.0,1.0,,,,,,,,,cyan,flipped triangle
1.0,1,7.0,2.0,4255.313873290001,1.0,part_3,stop,,,,108.0,2.0,270.0,108.0,162.0,54.0,324.0,216.0,white,cross
1.0,0,7.0,,,1.0,,go,,,,0.0,,88.0,176.0,44.0,264.0,132.0,220.0,cyan,flipped triangle
2.0,0,7.0,2.0,2486.22512817,1.0,part_3,go,,,,216.0,4.0,324.0,216.0,162.0,270.0,108.0,54.0,gray,hexagon
